EF,count,anger,disgust,fear,happiness,neutral,sadness,surprise
더라니까,1,0.9,0.0,0.0,0.0,0.1,0.0,0.0
더라구,1,0.0,0.0,0.0,0.1,0.9,0.0,0.0
다면서요,1,0.1,0.0,0.0,0.0,0.4,0.5,0.0
으니깐요,1,0.5,0.1,0.0,0.0,0.4,0.0,0.0
어서요,1,0.5,0.1,0.0,0.0,0.4,0.0,0.0
더라구요,1,0.6,0.3,0.0,0.0,0.1,0.0,0.0
;,179,0.10167597765363125,0.013966480446927373,0.30335195530726267,0.03687150837988826,0.08491620111731837,0.009497206703910617,0.4497206703910615
; ; ?,5,0.08,0.02,0.0,0.08,0.34,0.0,0.48
; ; ݾ,2,0.0,0.0,0.85,0.0,0.0,0.0,0.15
; ;,19,0.02631578947368421,0.01578947368421053,0.5052631578947369,0.015789473684210527,0.1105263157894737,0.005263157894736842,0.3210526315789473
; ݾ,44,0.0681818181818182,0.022727272727272728,0.1681818181818182,0.011363636363636364,0.10454545454545451,0.011363636363636364,0.6136363636363635
; ݾ;,5,0.15999999999999998,0.02,0.62,0.0,0.08,0.06000000000000001,0.06
; ϱ,6,0.21666666666666665,0.0,0.45,0.0,0.09999999999999999,0.0,0.23333333333333336
ݾ;,8,0.1625,0.05,0.4625,0.0,0.225,0.025,0.075
; ?,7,0.1285714285714286,0.08571428571428573,0.028571428571428574,0.08571428571428572,0.2857142857142857,0.014285714285714287,0.37142857142857144
ݾ,22,0.05454545454545456,0.03636363636363636,0.5499999999999999,0.0,0.11818181818181818,0.045454545454545456,0.19545454545454544
; ; ;,1,0.0,0.0,0.6,0.0,0.1,0.1,0.2
?,36,0.04444444444444445,0.005555555555555556,0.10277777777777779,0.005555555555555556,0.06944444444444446,0.002777777777777778,0.7694444444444444
; ?Կ,1,0.4,0.5,0.0,0.0,0.1,0.0,0.0
?ϱ,1,0.2,0.5,0.0,0.0,0.3,0.0,0.0
ϱ,1,0.2,0.6,0.0,0.0,0.2,0.0,0.0
